category,subcategory
 Бакалея,Сухие завтраки (шарики шоколадные)
 Бакалея,Рис круглозерный
 Бакалея,Мука пшеничная хлебопекарная
 Бакалея,Спагетти из твердых сортов пшеницы
 Бакалея,Пищевая соль
 Бакалея,Гречневая крупа
 Колбасные изделия,Сервелат
 Колбасные изделия,Колбаса «Докторская»
 Колбасные изделия,Сосиски «Молочные»
 Кондитерские изделия,Шоколад молочный
 Консервы,Огурцы маринованные
 Консервы,Натуральные консервы из лососевых рыб
 Консервы,Консервы из сайры
 Консервы,Зеленый горошек
 Консервы,Килька обжаренная в томатном соусе
 Масло растительное, Нерафинированное подсолнечное масло
 Масло растительное,Рафинированное подсолнечное масло
 Молочные продукты,Детские сухие молочные смеси
 Молочные продукты,Глазированные ванильные сырки
 Молочные продукты,Сыр плавленый сливочный
 Молочные продукты,Кефир
 Молочные продукты,Молоко
 Молочные продукты,Мороженое
 Молочные продукты,"Сливочное масло 72,5 % жирности"
 Молочные продукты,Сметана
 Молочные продукты,Творог
 Молочные продукты,Сыр «Российский»
 Молочные продукты,"Масло сливочное 82,5% жирности"
" Мясо, птица, яйцо",Фарш «Домашний»
" Мясо, птица, яйцо",Куриные яйца
" Мясо, птица, яйцо",Пельмени
" Мясо, птица, яйцо",Шашлык свиной
" Мясо, птица, яйцо",Куры бройлеры
" Овощи, фрукты",Томаты
 Рыба и морепродукты,Филе минтая
 Рыба и морепродукты,Икра лососевых 
 Рыба и морепродукты,Креветки
 Рыба и морепродукты,Крабовые палочки
 Рыба и морепродукты,Филе трески мороженое
 Рыба и морепродукты,Лососи соленые в ломтиках
 Рыба и морепродукты,Пресервы из сельди в масле
 Соусы,Кетчуп томатный 
 Соусы,Кетчуп шашлычный
 Соусы,Майонез «Провансаль»
 Хлебобулочные изделия,Сушки
